ID,data
2558,0.474152275
114786,0.466842295
644353,0.459809625
4986,0.4514678
285704,0.440565709
9698,0.439549986
4923,0.431295224
54996,0.42965072
257000,0.42738711
7295,0.427335517
221421,0.427132373
54331,0.4242819
55013,0.41984819
170261,0.417726458
6503,0.415904606
132204,0.414021488
51031,0.413660342
11017,0.412006165
5733,0.409897331
5955,0.408349563
134121,0.407027512
10965,0.405550683
641371,0.404402755
2742,0.403461196
22800,0.403080703
493,0.400091576
26007,0.400072229
9890,0.399527286
10653,0.397969844
9317,0.397305594
4062,0.396538159
114801,0.395970644
375057,0.395851337
135138,0.395690111
116443,0.395648192
1525,0.394513162
92,0.394374508
2898,0.393587726
79746,0.393394255
9382,0.392659065
119032,0.391888406
728978,0.391840038
5983,0.39176265
4852,0.390701784
23379,0.38952806
6585,0.389315242
728239,0.388725155
550643,0.388667114
144406,0.388583276
7991,0.388264049
201229,0.38702261
10590,0.386277747
246213,0.385639293
653513,0.384156015
10522,0.384010912
8655,0.383991565
220164,0.383301518
33,0.383282171
158763,0.382579226
9750,0.382501838
330,0.38212457
57465,0.381921425
40,0.381827914
64218,0.381824689
55190,0.38168926
79178,0.381566728
55591,0.381421625
1032,0.380902478
8682,0.380812191
59345,0.380609047
821,0.379973817
819,0.37985451
6659,0.379764223
4685,0.379158014
79016,0.378700133
8706,0.377423224
27324,0.376275296
219621,0.376123744
3598,0.375523984
8111,0.375217655
6545,0.374901652
7534,0.374724304
51760,0.374237402
203068,0.37377952
22881,0.373008861
3156,0.372860533
57484,0.372821839
2562,0.372621919
55885,0.372376856
541471,0.372073751
80213,0.371870607
84334,0.371199907
8900,0.371029008
400579,0.370293818
441052,0.369455444
57414,0.368459068
414918,0.368417149
25814,0.368194658
6750,0.368194658
387103,0.367656163
6328,0.367207956
154807,0.367159588
23531,0.367130567
27294,0.367085424
8685,0.367062852
116832,0.36654693
5067,0.366479215
7038,0.366424398
221491,0.366388928
55714,0.366050354
147699,0.365660188
10466,0.365373206
9168,0.365024958
6335,0.364937896
83468,0.364392952
5824,0.36427687
2173,0.364189808
5801,0.363154738
10882,0.362545304
2556,0.362003586
54550,0.361993912
116150,0.361968116
57626,0.361062027
200942,0.360891127
138649,0.360752473
5222,0.360697656
81557,0.360652513
8444,0.360417123
5912,0.360317163
167681,0.360294592
55907,0.36014304
832,0.360133366
93622,0.359617443
84719,0.359459442
132160,0.359404625
284485,0.359182134
100216479,0.358966091
7092,0.358701681
4086,0.358662986
4684,0.358053553
1756,0.356850808
90488,0.356654113
100133941,0.35653803
1675,0.356205905
340533,0.35613819
7223,0.35587378
64792,0.355709329
23544,0.355619043
2890,0.355328836
1069,0.355215978
1363,0.354619443
2098,0.353974539
644596,0.353948743
161582,0.353848783
1949,0.353806864
128611,0.353790742
4087,0.353381228
2239,0.353265146
51155,0.353097471
9253,0.353036205
6920,0.352787917
55715,0.352749223
6660,0.352607344
5125,0.352239749
55228,0.352149463
8938,0.351717378
9500,0.351259496
2786,0.3507339
5569,0.350504959
349136,0.350327611
64130,0.350214753
10154,0.349656911
124045,0.349569849
3755,0.349560176
146433,0.349431195
53353,0.349411848
51246,0.349344133
7347,0.348857231
85455,0.348625066
395,0.348444493
113540,0.348180083
998,0.348105919
79948,0.347847958
56271,0.347725426
54836,0.347477138
51440,0.347448118
2280,0.346874154
4082,0.346683907
5592,0.346593621
285016,0.346122841
2560,0.345977738
55897,0.345684307
10126,0.345584347
8974,0.345323161
9332,0.345174833
57713,0.344955566
255426,0.344884627
400793,0.344639564
100132994,0.344162335
140733,0.343797965
341359,0.34359482
6157,0.343578698
5786,0.343465839
23284,0.343452941
103910,0.342911223
9362,0.342849957
126792,0.342485586
2517,0.342350157
112597,0.342272768
26166,0.342234074
11040,0.342192155
4826,0.342182482
1973,0.341998684
5734,0.341866479
149175,0.341753621
10160,0.34156015
728392,0.341511782
4886,0.34142472
5119,0.341228025
10040,0.340953941
10446,0.34059602
5594,0.340280017
8325,0.340228425
347549,0.339999484
353149,0.339857605
201895,0.339831809
2555,0.338828985
8767,0.338706453
51280,0.338638738
126129,0.338284041
153743,0.337668159
64748,0.337300564
653784,0.337071623
167555,0.336349331
401472,0.336188105
388121,0.336136513
1809,0.335272343
5330,0.334846706
80237,0.334485561
2922,0.334024455
81578,0.333605268
1810,0.333598819
3157,0.33352143
10683,0.333398899
2862,0.333218326
54332,0.332808812
83892,0.332741097
56999,0.332483136
9609,0.332467013
642852,0.332437993
57182,0.332270318
83544,0.332231623
10904,0.332180031
23671,0.332067173
101927027,0.331960764
101060524,0.331693129
11279,0.331448066
1258,0.33132231
143384,0.330954715
25934,0.330538752
27151,0.330516181
5580,0.330383975
283209,0.330329159
23635,0.330000258
1947,0.329835808
